institution_id,institution_id,person_id,project_count
10194.0,10194.0,1487874,16
10194.0,10194.0,1262444,19
10194.0,10194.0,1193373,22
10198.0,10198.0,78374481,1
10198.0,10198.0,336563645,1
10198.0,10198.0,1699256,1
10198.0,10198.0,1037100,2
10198.0,10198.0,5194,3
10199.0,10199.0,1179394,2
10199.0,10199.0,1871874,2
10199.0,10199.0,42635354,2
10199.0,10199.0,1809871,3
10199.0,10199.0,18140665,5
10199.0,10199.0,1862808,5
10199.0,10199.0,1857405,5
10199.0,10199.0,1592385,6
10199.0,10199.0,1596335,7
10199.0,10199.0,1365545,7
10200.0,10200.0,209837946,2
10200.0,10200.0,1351723,3
10200.0,10200.0,1078099,3
10200.0,10200.0,185412484,3
10200.0,10200.0,212075836,3
10200.0,10200.0,213959878,3
10200.0,10200.0,990126,4
10200.0,10200.0,1830222,4
10200.0,10200.0,1790173,4
10200.0,10200.0,1686780,5
10202.0,10202.0,1357603,9
10202.0,10202.0,1665472,9
10202.0,10202.0,1238750,9
10202.0,10202.0,1290085,11
10202.0,10202.0,1470841,11
10202.0,10202.0,1415491,11
10202.0,10202.0,1370194,11
10202.0,10202.0,1825544,12
10202.0,10202.0,993262,15
10202.0,10202.0,1264291,15
10204.0,10204.0,1234794,14
10204.0,10204.0,1641162,15
10204.0,10204.0,1141841,16
10204.0,10204.0,1428594,16
10204.0,10204.0,1179045,17
10204.0,10204.0,1680584,17
10204.0,10204.0,1187910,18
10204.0,10204.0,1176292,18
10204.0,10204.0,1584742,21
10204.0,10204.0,1375829,26
10206.0,10206.0,1069443,16
10206.0,10206.0,1657050,16
10206.0,10206.0,1665025,17
10206.0,10206.0,1374922,18
10206.0,10206.0,5303,19
10206.0,10206.0,1297753,19
10206.0,10206.0,2044284,22
10206.0,10206.0,1332149,22
10206.0,10206.0,1442705,25
10206.0,10206.0,1553929,30
10208.0,10208.0,1150806,13
10208.0,10208.0,5482,13
10208.0,10208.0,1144268,14
10208.0,10208.0,1419231,14
10208.0,10208.0,1770391,14
10208.0,10208.0,1228225,16
10208.0,10208.0,1398015,16
10208.0,10208.0,1135263,18
10208.0,10208.0,1572567,20
10208.0,10208.0,1119776,21
10210.0,10210.0,1611261,18
10210.0,10210.0,1579025,18
10210.0,10210.0,999108,22
10210.0,10210.0,1234487,24
10210.0,10210.0,1474719,24
10210.0,10210.0,1240260,25
10210.0,10210.0,1390367,25
10210.0,10210.0,1582326,28
10210.0,10210.0,1723144,46
10210.0,10210.0,1668734,48
10213.0,10213.0,987599,1
10213.0,10213.0,1351944,1
10213.0,10213.0,1575274,1
10214.0,10214.0,198763031,1
10214.0,10214.0,1743096,1
10214.0,10214.0,1692930,1
10216.0,10216.0,391474306,1
10216.0,10216.0,18981123,1
10216.0,10216.0,15787281,1
10216.0,10216.0,1407199,1
10216.0,10216.0,1164480,1
10216.0,10216.0,1659121,2
10216.0,10216.0,36104986,3
10216.0,10216.0,1207027,3
10216.0,10216.0,1821131,4
10216.0,10216.0,1309514,5
10217.0,10217.0,354680601,1
10217.0,10217.0,343130840,1
10217.0,10217.0,329703156,1
10217.0,10217.0,228601150,1
10217.0,10217.0,29753830,1
10217.0,10217.0,1703551,1
10217.0,10217.0,1503292,1
10218.0,10218.0,36104360,1
10219.0,10219.0,1805097,1
10219.0,10219.0,1745292,1
10219.0,10219.0,254216994,1
10219.0,10219.0,990370,2
10219.0,10219.0,1050676,2
10219.0,10219.0,68523574,2
10219.0,10219.0,76510377,2
10219.0,10219.0,1357900,3
10219.0,10219.0,1155175,4
10219.0,10219.0,1384605,6
10220.0,10220.0,270657312,1
10220.0,10220.0,190717798,2
10220.0,10220.0,1777272,2
10220.0,10220.0,1646317,2
10220.0,10220.0,6470,4
10221.0,10221.0,318374586,1
10221.0,10221.0,269931323,1
10221.0,10221.0,171536868,1
10221.0,10221.0,34793535,1
10221.0,10221.0,1897426,1
10221.0,10221.0,1356725,3
10221.0,10221.0,1313459,3
10221.0,10221.0,61335523,6
10224.0,10224.0,1199732,1
10224.0,10224.0,371197,1
10224.0,10224.0,23633645,1
10224.0,10224.0,396329600,1
10224.0,10224.0,1616932,2
10224.0,10224.0,35511222,2
10224.0,10224.0,158560794,2
10224.0,10224.0,242629526,2
10224.0,10224.0,25862227,3
10224.0,10224.0,281278498,3
10229.0,10229.0,263759037,1
10229.0,10229.0,51708093,1
10229.0,10229.0,47489800,1
10229.0,10229.0,33974375,1
10229.0,10229.0,1404213,1
10229.0,10229.0,1410328,3
10229.0,10229.0,1015668,6
10229.0,10229.0,1334234,6
10232.0,10232.0,106495665,2
10232.0,10232.0,78373974,2
10232.0,10232.0,9608850,2
10232.0,10232.0,43905109,3
10232.0,10232.0,1315638,3
10232.0,10232.0,1821639,3
10232.0,10232.0,1058761,4
10232.0,10232.0,1579762,4
10232.0,10232.0,2027452,4
10232.0,10232.0,43905404,4
10233.0,10233.0,1168194,12
10233.0,10233.0,1045829,12
10233.0,10233.0,1135647,12
10233.0,10233.0,1459543,12
10233.0,10233.0,1280394,12
10233.0,10233.0,1028151,13
10233.0,10233.0,1544218,14
10233.0,10233.0,1142785,21
10233.0,10233.0,1243022,21
10233.0,10233.0,1014893,24
10235.0,10235.0,1999587,2
10235.0,10235.0,1763000,2
10235.0,10235.0,1739834,2
10235.0,10235.0,1586328,2
10235.0,10235.0,1468495,2
10235.0,10235.0,1152246,2
10235.0,10235.0,1026280,2
10235.0,10235.0,1010253,2
10235.0,10235.0,1468338,3
10235.0,10235.0,236939077,3
10236.0,10236.0,1333984,18
