,institution_id,person_id,project_count,person_gender_index,name,first_name,gender
363,10117,995167,22,0.13392857142857142,professor dr. erwin beck,erwin,M
364,10117,1464250,27,0.0,professor dr.-ing. volker altstädt,volker,M
365,10119,1654056,4,0.3125,professorin dr. henriette engelhardt-wölfler,henriette,F
366,10119,1556034,4,,professor dr. stephan albrecht,stephan,M
367,10119,1441907,4,,professorin dr. birgitt hoffmann,birgitt,F
368,10119,1727145,4,0.3125,professor dr. thomas gehring,thomas,M
369,10119,1741053,5,0.6666666666666666,professorin dr. astrid schütz,astrid,F
370,10119,1160433,5,,professor dr. stefan lautenbacher,stefan,M
371,10119,1363813,6,0.578125,professorin dr. sabine weinert,sabine,F
372,10119,1631151,8,0.3333333333333333,professor dr. mark häberlein,mark,M
373,10119,1642512,8,0.0,professor dr. ingolf ericsson,ingolf,M
374,10119,1379257,15,0.6432291666666666,professor dr. hans-peter blossfeld,hans-peter,
375,10121,1099113,18,0.07959183673469387,professor dr. rainer hedrich,rainer,M
376,10121,1094296,18,0.035294117647058816,professor dr. martin heisenberg,martin,M
377,10121,1017304,18,0.07692307692307693,professor dr. holger braunschweig,holger,M
378,10121,1452190,19,0.04166666666666666,professor dr. laurens w. molenkamp,w.,
379,10121,1344485,19,0.15073529411764708,professor dr. utz fischer,utz,M
380,10121,1638967,19,0.182826976944624,professor dr. markus sauer,markus,M
381,10121,1248116,20,0.1924019607843137,"professor dr. manfred schartl, ph.d.","schartl,",
382,10121,1025414,23,0.0,professor dr. ralph claessen,ralph,M
383,10121,1113595,25,0.08434809675618499,professor dr. thomas hünig,thomas,M
384,10121,1042934,26,0.10627085332967688,professor dr. martin eilers,martin,M
385,10123,1396699,9,0.0,professor dr. wolfgang scherer,wolfgang,M
386,10123,1169253,10,0.0,professor dr. alois loidl,alois,M
387,10123,1374705,11,0.01058201058201058,professor dr. achim wixforth,achim,M
388,10123,1294508,12,0.0,professor dr. bernd stritzker,bernd,M
