,person_id,name,first_name,gender
315,1659803,darius koriako,darius,M
316,1148528,professorin dr. birgit kröner-herwig,birgit,F
317,1670690,professor dr.-ing. jürgen bauch,jürgen,
318,325501852,dr. sergey bokarev,sergey,M
319,1623335,dr. rupert kellner,rupert,M
320,1756233,privatdozent dr. rudolf otto meier,otto,M
321,1630168,dr. dieter borgmann,dieter,M
322,1423780,privatdozent dr. elmar schreiber,elmar,M
323,1903493,professor dr. zhihong cao,zhihong,
324,1280647,professor dr. winfried siffert,winfried,M
325,1278268,dr. peter sebald,peter,M
326,69157900,"professor bruno kilunga kubata, ph.d.","kubata,",
327,1515089,professor dr. horst martini,horst,M
328,386104441,dr. michael hoffmann,michael,M
329,1150073,dr. axel kranzmann,axel,M
330,1812077,professor dr.-ing. werner henkel,werner,M
331,27051862,dr. lutz fromhage,lutz,M
332,137460985,professorin dr. brit mollenhauer,brit,F
333,42635354,professor dr. bjorn stevens,bjorn,M
334,108278392,professor dr.-ing. florian seitz,florian,M
335,1810252,professor dr. andreas wirsching,andreas,M
336,196492350,privatdozent dr. oliver schnetz,oliver,M
337,1089990,professorin dr. katrin hartmann,katrin,F
338,1798078,professor dr. alfons j. weichenrieder,j.,
339,16033333,dr. jörn c. albring,c.,
340,22012206,professor dr. sebastian strieth,sebastian,M
341,61928519,dr. sandra lösgen,sandra,F
342,1539991,professor dr. bülent tezkan,bülent,
343,1823215,dr. guido hamm,guido,M
344,1870426,professorin dr. elizabeth von hauff,von,M
345,258101505,dr. konstantin stark,konstantin,M
346,1603426,dr. reinhard bierl,reinhard,M
347,1658181,dr. ingrid schuberth,ingrid,F
348,43741860,professor dr. holger horz,holger,M
349,229426555,professor dr. stephen menn,stephen,M
350,12469511,professor dr. johannes hartig,johannes,M
351,27295828,professor dr. mario gollwitzer,mario,M
352,181846463,dr. carsten rusner,carsten,M
353,1965708,professor dr. jean-louis pierre,jean-louis,
354,262228350,privatdozent dr. denis basko,denis,M
355,998297,professor dr. helmut bester,helmut,M
356,1065212,professor dr. michael gewecke,michael,M
357,398554795,"dr. claudine graf, ph.d.","graf,",
358,1387435,dr. bert steffan,bert,M
359,1100320,professor dr. michael hecker,michael,M
360,1720959,dr. udo walther,udo,M
361,9626447,professor dr. ralf b. wehrspohn,b.,
362,267059684,dr. patryk moskwa,patryk,M
363,1361215,privatdozent dr. dieter browarzik (†),browarzik,
364,326676987,professor dr. henner gimpel,henner,M
365,219315006,privatdozentin dr. christine morgenstern,christine,F
366,35675969,professor dr. janko latschev,janko,M
367,1093333,professor dr. wilfried heller,wilfried,M
368,2040467,dr. bas van geel,van,?
369,1593300,professor dr.-ing. clemens posten,clemens,M
370,1803955,professorin dr. bernadette collenberg-plotnikov,bernadette,F
371,1757852,dr. stefan vogel,stefan,M
372,344649439,dr. georg urtel,georg,M
373,1262440,professorin dr. karin schnetz,karin,F
374,229803386,professor dr.-ing. jens falkenstein,jens,M
375,1743458,dr. arne ackermann,arne,M
376,1128710,professor dr. ulrich keller,ulrich,M
377,36209261,dr. uta marienfeld,uta,F
378,1425273,privatdozent dr. alexander kiani,alexander,M
379,103094014,professorin dr. ulrike m. krämer,m.,
380,216525088,professorin dr. an chen,an,F
381,199700251,dr. reimo zoschke,reimo,M
382,1352738,professorin dr. hildegard meyer-ortmanns,hildegard,F
383,230122668,professor dr. michael crone,michael,M
384,394587517,professor dr. stephan lauermann,stephan,M
385,1069329,professor dr. athanassios giannis,athanassios,M
386,1731348,dr. michaela tiemann,michaela,F
387,200455673,dr. jens teiser,jens,M
388,1802238,dr.-ing. alwin nagel,alwin,M
389,1919744,dr. john white,john,M
390,1167817,professor dr. hans j. lietzmann,j.,
391,1822661,professor dr. christoph gradmann,christoph,M
392,53428352,professor dr. christian grund,christian,M
393,42820449,dr. sandra petermann,sandra,F
394,1072398,professor dr. friedrich götze,friedrich,M
395,1721965,privatdozent dr. hans häcker,hans,M
396,274617980,dr. michael hinz,michael,M
397,191476668,professor dr. peter gierschik,peter,M
398,392482,professor dr. freek kapteijn,freek,M
399,254393512,dr. laia mestre,laia,F
400,1755807,professor dr. ulrich schatzschneider,ulrich,M
401,14392744,dr. michael rießler,michael,M
402,1485895,privatdozentin dr. carole t. gee,t.,
403,1036861,professor dr. horst drechsel,horst,M
404,1697080,professor dr. carsten fallnich,carsten,M
405,136600677,dr. carola winkelmann,carola,F
406,127282928,dr. beate mittmann,beate,F
